gene_id,feature_id,lr,df,pvalue,adj_pvalue,external_gene_name
ENSG00000137103,ENST00000643932,0.846165248899126,1,0.357639438686005,0.599015014708894,TMEM8B
ENSG00000085719,ENST00000614678,0.842058186063362,1,0.3588087913156,0.60033669764035,CPNE3
ENSG00000085719,ENST00000517490,0.842058186063362,1,0.3588087913156,0.60033669764035,CPNE3
ENSG00000103363,ENST00000572954,0.841755259422712,1,0.358895247850813,0.60033669764035,ELOB
ENSG00000175387,ENST00000586040,0.840146675576136,1,0.359354824906606,0.600459187033671,SMAD2
ENSG00000136371,ENST00000560919,0.839865383930338,1,0.359435273917538,0.600459187033671,MTHFS
ENSG00000136371,ENST00000258874,0.839865383930338,1,0.359435273917538,0.600459187033671,MTHFS
ENSG00000175147,ENST00000310916,0.836371946649098,1,0.36043646166737,0.601610858812449,TMEM51-AS1
ENSG00000175147,ENST00000404665,0.836371946649098,1,0.36043646166737,0.601610858812449,TMEM51-AS1
ENSG00000171456,ENST00000375689,0.834802147741677,1,0.360887603295533,0.602103441901194,ASXL1
ENSG00000005436,ENST00000470197,0.830895942478588,1,0.362013585797811,0.603393485356125,GCFC2
ENSG00000005436,ENST00000321027,0.830895942478581,1,0.362013585797813,0.603393485356125,GCFC2
ENSG00000115514,ENST00000264255,0.829145597191982,1,0.362519704869451,0.603393485356125,TXNDC9
ENSG00000115514,ENST00000409434,0.829145597191982,1,0.362519704869451,0.603393485356125,TXNDC9
ENSG00000120533,ENST00000523335,0.829009636244805,1,0.362559059399963,0.603393485356125,ENY2
ENSG00000268555,ENST00000596996,0.828331809872791,1,0.362755347506144,0.603393485356125,""
ENSG00000268555,ENST00000662322,0.828331809872791,1,0.362755347506144,0.603393485356125,""
ENSG00000197712,ENST00000358869,0.825210292370983,1,0.363661189605464,0.60437921218238,FAM114A1
ENSG00000197712,ENST00000515037,0.825210292370983,1,0.363661189605464,0.60437921218238,FAM114A1
ENSG00000169567,ENST00000508495,0.824180844852094,1,0.363960613956399,0.604616448238375,HINT1
ENSG00000158092,ENST00000469404,0.82029900858835,1,0.365092757261833,0.60585404004986,NCK1
ENSG00000158092,ENST00000481752,0.82029900858835,1,0.365092757261833,0.60585404004986,NCK1
ENSG00000123384,ENST00000243077,0.819475379788223,1,0.365333597096664,0.60585404004986,LRP1
ENSG00000123384,ENST00000556356,0.819475379788223,1,0.365333597096664,0.60585404004986,LRP1
ENSG00000101266,ENST00000646561,0.818411956812582,1,0.365644881794899,0.606109793318949,CSNK2A1
ENSG00000100815,ENST00000267622,0.814197783771164,1,0.366882077845805,0.606394984461572,TRIP11
ENSG00000085733,ENST00000346329,0.813296209615317,1,0.367147516358091,0.606394984461572,CTTN
ENSG00000085733,ENST00000482755,0.813296209615317,1,0.367147516358091,0.606394984461572,CTTN
ENSG00000134248,ENST00000602858,0.812577007115202,1,0.367359452971708,0.606394984461572,LAMTOR5
ENSG00000134248,ENST00000256644,0.812577007115202,1,0.367359452971708,0.606394984461572,LAMTOR5
ENSG00000137074,ENST00000673181,0.81183481692478,1,0.367578341978001,0.606394984461572,APTX
ENSG00000137074,ENST00000673360,0.811834816924772,1,0.367578341978003,0.606394984461572,APTX
ENSG00000119638,ENST00000555405,0.811173165759726,1,0.367773631067412,0.606394984461572,NEK9
ENSG00000119638,ENST00000238616,0.811173165759726,1,0.367773631067412,0.606394984461572,NEK9
ENSG00000233154,ENST00000443219,0.811057537073523,1,0.367807774162396,0.606394984461572,LINC01762
ENSG00000233154,ENST00000437308,0.811057537073523,1,0.367807774162396,0.606394984461572,LINC01762
ENSG00000181555,ENST00000685399,0.810558379329834,1,0.367955217168019,0.606394984461572,SETD2
ENSG00000181555,ENST00000687657,0.810558379329834,1,0.367955217168019,0.606394984461572,SETD2
ENSG00000108298,ENST00000579374,0.810242186281471,1,0.368048657938231,0.606394984461572,RPL19
ENSG00000168876,ENST00000544253,0.809159745563449,1,0.368368788819178,0.606394984461572,ANKRD49
ENSG00000168876,ENST00000544612,0.809159745563449,1,0.368368788819178,0.606394984461572,ANKRD49
ENSG00000103326,ENST00000219611,0.808756081822686,1,0.368488271200411,0.606394984461572,CAPN15
ENSG00000133142,ENST00000472484,0.804079944823933,1,0.369876325756729,0.608082196339984,TCEAL4
ENSG00000133142,ENST00000468024,0.804079944823926,1,0.369876325756731,0.608082196339984,TCEAL4
ENSG00000163728,ENST00000382584,0.803181541076668,1,0.370143840166526,0.608082196339984,TTC14
ENSG00000163728,ENST00000296015,0.803181541076668,1,0.370143840166526,0.608082196339984,TTC14
ENSG00000119318,ENST00000358015,0.800541273457547,1,0.370931586924477,0.60868038730369,RAD23B
ENSG00000119318,ENST00000416373,0.800541273457547,1,0.370931586924477,0.60868038730369,RAD23B
ENSG00000204220,ENST00000395131,0.799847784081472,1,0.371138883473848,0.60868038730369,PFDN6
ENSG00000204220,ENST00000374607,0.799847784081468,1,0.371138883473849,0.60868038730369,PFDN6
ENSG00000236753,ENST00000648242,0.797444945284184,1,0.37185838844963,0.6096013258399,MKLN1-AS
ENSG00000168273,ENST00000477703,0.79371263283403,1,0.372979862535048,0.610019691664144,UQCC5
ENSG00000121390,ENST00000338910,0.793666696043999,1,0.372993694944213,0.610019691664144,PSPC1
ENSG00000121390,ENST00000635251,0.793666696043999,1,0.372993694944213,0.610019691664144,PSPC1
ENSG00000124279,ENST00000507036,0.792007000190704,1,0.37349394187281,0.610019691664144,FASTKD3
ENSG00000124279,ENST00000264669,0.792007000190701,1,0.373493941872811,0.610019691664144,FASTKD3
ENSG00000175164,ENST00000611156,0.79188788300619,1,0.373529880965111,0.610019691664144,ABO
ENSG00000175164,ENST00000680600,0.79188788300619,1,0.373529880965111,0.610019691664144,ABO
ENSG00000198382,ENST00000531818,0.791866652524845,1,0.37353628696615,0.610019691664144,UVRAG
ENSG00000198382,ENST00000356136,0.791866652524845,1,0.37353628696615,0.610019691664144,UVRAG
ENSG00000173113,ENST00000539854,0.791073755895468,1,0.373775642683121,0.61015237102968,TRMT112
ENSG00000181163,ENST00000351986,0.787832977207557,1,0.374756190948244,0.610846212876373,NPM1
ENSG00000005483,ENST00000653259,0.787480802410684,1,0.374862964154635,0.610846212876373,KMT2E
ENSG00000173660,ENST00000311672,0.787334608860078,1,0.374907300004679,0.610846212876373,UQCRH
ENSG00000173660,ENST00000496387,0.787334608860078,1,0.374907300004679,0.610846212876373,UQCRH
ENSG00000127463,ENST00000461353,0.786369900060418,1,0.375200050034706,0.610846212876373,EMC1
ENSG00000127463,ENST00000688219,0.786369900060418,1,0.375200050034706,0.610846212876373,EMC1
ENSG00000249915,ENST00000512466,0.786012047889727,1,0.375308725247442,0.610846212876373,PDCD6
ENSG00000085788,ENST00000397166,0.781768925113234,1,0.376600685039563,0.611766105619035,DDHD2
ENSG00000085788,ENST00000526144,0.781768925113234,1,0.376600685039563,0.611766105619035,DDHD2
