feats,Top,p.value,FDR,logFC,cluster,ranking,hgnc_symbol
ENST00000427199,398,0.000263806906947381,0.00917298685697043,-0.141484053146312,5,12403,TICAM2
ENST00000428099,347,0.005844523591557,0.233098796184296,-0.0759024555968691,3,11369,NFKB2
ENST00000428443,279,0.000117226356121462,0.00581976832939158,-0.176390706285843,5,12910,SESTD1
ENST00000429494,56,0.000478491101551063,0.114426309205052,-0.122280158121177,3,12703,SLC35F6
ENST00000429494,123,0.000493625194671334,0.0556472109700221,-0.109250305206625,4,12426,SLC35F6
ENST00000429631,372,0.00660432773142802,0.244859156015859,-0.0687649117170728,3,11081,DOK1
ENST00000429631,1423,0.00668574920194513,0.0651242153415014,-0.0590187037571727,5,9545,DOK1
ENST00000429642,110,9.83606219932911e-06,0.00123988034959907,-0.419138973401077,5,13809,IDI1
ENST00000429709,94,0.000270005726349111,0.0392824781293709,-0.167601835620931,4,13247,ACTL6A
ENST00000430195,32,5.11122333244156e-07,0.000216422855882259,-0.233064712951556,5,13355,CYB561D1
ENST00000430297,23,0.000159171591148952,0.0929172587675716,-0.139018056360088,2,12872,RETREG2
ENST00000430834,1462,0.00720785951837963,0.0683612722858084,-0.0768382492187846,5,10576,DGKD
ENST00000430889,106,0.00180870939702086,0.236599665085767,-0.132515893137868,2,12765,HOXC4
ENST00000430976,539,0.000563024848274428,0.0144840492507852,-0.107644467593017,5,11667,PTPN4
ENST00000431317,495,0.00563165319306062,0.157690280735674,-0.188364776440369,4,13411,ARID4A
ENST00000431717,1280,0.00530587569780962,0.0574775565826783,-0.0710996520741556,5,10302,C3orf52
ENST00000432126,358,0.00308513554635473,0.119396791356947,-0.0983458523402274,4,12186,DELE1
ENST00000432176,85,0.00129346799028662,0.206501937875183,-0.115105113502138,2,12442,HYCC1
ENST00000432176,748,0.00133799601477575,0.0247717583096137,-0.0960719844978473,5,11308,HYCC1
ENST00000432328,377,0.00670331783954991,0.245960732281964,-0.0707582965977218,3,11184,PCED1B
ENST00000432352,425,0.0082334664203896,0.268624106788523,-0.0672405385524072,3,11006,TMEM44
ENST00000432352,1532,0.00832119526968797,0.0753144214161184,-0.0577103834819873,5,9455,TMEM44
ENST00000432458,26,0.000184228961659314,0.0963569631743388,-0.202094105196602,2,13447,DYNC1LI1
ENST00000432513,114,0.00112566908606939,0.135671145297119,-0.113684617469399,3,12525,""
ENST00000432513,715,0.00115982764781522,0.0224925456847633,-0.0975718370406652,5,11346,""
ENST00000432518,472,0.00515178142988661,0.151228370066116,-0.0926430956089984,4,12035,RBMS3
ENST00000432560,1447,0.00695910258907389,0.0666761945013889,-0.114992270492905,5,11838,AP1B1
ENST00000432854,137,0.00246087260305113,0.245638339254318,-0.108671001923598,2,12297,DBNL
ENST00000432854,953,0.00252401942381634,0.0367240853416971,-0.0907017811330821,5,11136,DBNL
ENST00000432900,428,0.00430124746191205,0.139348358193627,-0.241157579507606,4,13647,ZNF33A
ENST00000433216,599,0.013009429539646,0.300829520287763,0.472897095422914,3,8,TAX1BP1
ENST00000433386,107,0.00105792121369236,0.135671145297119,-0.330756884289787,3,13810,HSPBP1
ENST00000433673,974,0.00267259029000864,0.038047368543388,-0.0948737789417402,5,11269,MAP3K2-DT
ENST00000433688,328,0.000160445775399301,0.00676990061449346,-0.15242821846346,5,12595,ZFTA
ENST00000434248,444,0.00467171434004187,0.14589637621401,-0.0993430058932946,4,12218,ZNF780B
ENST00000434411,38,0.000247231349406336,0.0898578556955435,-0.150045336224861,3,13081,SNHG20
ENST00000434423,45,0.000355337577252829,0.109491352137505,-0.21969478864775,2,13524,POM121
ENST00000434581,559,0.000609638963622398,0.015122099945596,-0.299420054537823,5,13608,TMEM68
ENST00000434676,54,0.000445573144628252,0.114413281915099,-0.133298901906829,3,12876,DNM1L
ENST00000434837,487,0.00552067313129663,0.156603378421403,-0.0889393314591992,4,11907,MDGA1
ENST00000434837,1307,0.00553945615985092,0.0587682472169035,-0.0854377829765536,5,10948,MDGA1
ENST00000435205,1231,0.00488742352618011,0.0550105811289946,-0.108288876825307,5,11688,FHIP1A
ENST00000435417,514,0.00602174365503817,0.162446493231049,-0.0735642592098487,4,11377,CRELD1
ENST00000435417,1353,0.00604117712703663,0.0619120192486991,-0.0706680285322956,5,10269,CRELD1
ENST00000435634,73,0.000192026144301206,0.0358011724580963,-0.377361330899759,4,13829,EXOSC6
ENST00000435930,400,0.000265308333766331,0.00917298685697043,-0.134667801733615,5,12258,RABL6
ENST00000436072,8,0.000639556930266925,0.686962772407768,-0.194263972559894,1,13610,SFRP4
ENST00000436609,316,0.00251860443141966,0.11051572482932,-0.11021162595439,4,12445,ALG13
ENST00000437003,175,0.000919727051534345,0.0718811389361415,-0.0920329253360578,4,12011,TMEM116
ENST00000437150,244,8.50274593708573e-05,0.00483192930998487,-0.341670259341626,5,13705,GCA
ENST00000437322,384,0.00956901621938133,0.339802730505946,-0.0798644926998387,2,11460,USP27X-DT
ENST00000437811,450,0.00482913606238942,0.148801779202426,-0.0897538266659962,4,11932,HLA-DPA1
ENST00000437833,1208,0.00469866082455483,0.0538584467845335,-0.0974243916202363,5,11344,""
ENST00000437941,891,0.0021482683203665,0.0334063941517536,-0.100096079695454,5,11432,SSX2IP
ENST00000438013,325,0.00266178708888688,0.112543660326703,-0.103163997393243,4,12310,GPR35
ENST00000438473,669,0.000987797936919877,0.0204735518584918,-0.139674300848586,5,12369,MLLT10
ENST00000438723,25,2.79244795971718e-07,0.000154880333637754,-0.314424105617129,5,13651,RALGPS1
ENST00000438824,1223,0.00481015855283872,0.0545361066996416,-0.0891006191724895,5,11083,LINC01802
ENST00000438952,1520,0.00821271842464883,0.0749194432080136,-0.0684356892904193,5,10131,SYNJ1
ENST00000439587,240,0.00155686421876217,0.0895752139749117,-0.114892608235059,4,12553,TMEM8B
ENST00000440180,254,0.00175038817610826,0.0950731382393973,-0.088355629724963,4,11886,CFLAR
ENST00000440460,65,0.000162976172318542,0.0341875636866688,-0.140105429677112,4,12948,DIXDC1
ENST00000440869,200,4.50652042204531e-05,0.00312437060860401,-0.169675021765389,5,12825,PHACTR2
ENST00000440890,207,4.78121722396631e-05,0.00320272261002497,-0.197169814047368,5,13104,BMPR1B
ENST00000441222,544,0.000586679764965128,0.0149336970715041,-0.132970409820167,5,12212,USP46
ENST00000441402,322,0.00537126465722741,0.229289419643298,-0.0940564190758437,3,12029,TMEM39B
ENST00000441448,451,0.00035948833194169,0.0110524727510055,-0.152246627163438,5,12591,RPF2
ENST00000441606,279,0.00603444589173687,0.299905472167826,-0.166477464631591,2,13188,ANO6
ENST00000441793,1364,0.00614374451429741,0.0624553969466627,-0.078158827037007,5,10629,BAG6
ENST00000441796,302,0.00494929723969211,0.227241574587983,-0.198890455984884,3,13502,CRAT
ENST00000442218,345,0.00289771137215003,0.116348584511129,-0.233552728542405,4,13619,SLC48A1
ENST00000442245,503,0.00582829624716173,0.160666313644422,-0.100859837188451,4,12249,EMX2
ENST00000443128,268,0.00187367813345796,0.0967548136067552,-0.0946819627669316,4,12086,CFAP263
ENST00000443275,680,0.00104025961887381,0.0211789472050448,-0.0937431541250297,5,11238,POU2F1
